Date,AAPL,AMZN,GOOG,META,MSFT
2012-11-13,16.5383,11.33,16.39607,19.81927,22.06067
2012-11-14,16.35491,11.1475,16.23436,22.31415,21.85709
2012-11-15,16.01191,11.03,16.10275,22.12453,21.71052
2012-11-16,16.07466,11.2615,16.10076,23.51168,21.59649
2012-11-19,17.23377,11.4855,16.62395,22.873,21.76751
2012-11-20,17.08694,11.689,16.66774,23.05263,21.75122
2012-11-21,17.111,11.9015,16.56574,24.27013,21.94667
2012-11-23,17.40954,11.994,16.61798,23.95078,22.55743
2012-11-26,17.95878,12.181,16.44831,25.8868,22.30498
2012-11-27,17.81409,12.17,16.68615,26.09637,22.05253
2012-11-28,17.75804,12.3555,17.00857,26.30594,22.28055
2012-11-29,17.9536,12.5635,17.21307,27.26398,21.94667
2012-11-30,17.82932,12.6025,17.37428,27.94258,21.67793
2012-12-03,17.85703,12.5165,17.29666,26.98455,21.5232
2012-12-04,17.54205,12.6245,17.19168,27.40369,21.47434
2012-12-05,16.4131,12.698,17.11182,27.65317,21.71865
2012-12-06,16.67051,12.6685,17.19416,26.91469,21.76751
2012-12-07,16.24433,12.6635,17.022,27.43362,21.54764
2012-12-10,16.13985,12.3885,17.05211,27.78291,21.93852
2012-12-11,16.4923,12.5345,17.33721,27.92262,22.24798
2012-12-12,16.41949,12.588,17.35413,27.52344,22.18282
2012-12-13,16.13589,12.5625,17.48201,28.18209,22.07696
2012-12-14,15.52968,12.4595,17.46359,26.75502,21.83266
2012-12-17,15.80505,12.693,17.93181,26.69514,22.06882
2012-12-18,16.26414,13.02,17.93902,27.65317,22.44342
2012-12-19,16.03292,12.8995,17.91514,27.35379,22.23983
2012-12-20,15.8934,13.075,17.97111,27.30389,22.54114
2012-12-21,15.82029,12.846,17.80368,26.20615,22.35384
2012-12-24,15.84588,12.931,17.65118,26.87477,22.03624
2012-12-26,15.62746,12.4315,17.6355,26.45564,21.87337
2012-12-27,15.69021,12.4155,17.57132,25.99658,21.95481
2012-12-28,15.52358,12.259,17.41508,25.85686,21.62093
2012-12-31,16.21143,12.5435,17.59843,26.56541,21.75122
2013-01-02,16.72504,12.8655,17.99325,27.94258,22.49228
2013-01-03,16.51393,12.924,18.0037,27.71305,22.19097
2013-01-04,16.05395,12.9575,18.35946,28.70102,21.77565
2013-01-07,15.95951,13.423,18.27936,29.35967,21.73494
2013-01-08,16.00245,13.319,18.24328,29.00041,21.62093
2013-01-09,15.75236,13.3175,18.3632,30.52727,21.74308
2013-01-10,15.94762,13.267,18.44678,31.23581,21.54764
2013-01-11,15.84984,13.397,18.40972,31.65495,21.84894
2013-01-14,15.28475,13.6365,17.99325,30.88653,21.89781
2013-01-15,14.80252,13.595,18.03505,30.03827,22.15839
2013-01-16,15.41697,13.4465,17.79274,29.78879,22.01996
2013-01-17,15.31309,13.524,17.69646,30.07819,22.19097
2013-01-18,15.23144,13.606,17.52703,29.59917,22.19097
2013-01-22,15.37676,13.5095,17.48623,30.66698,22.10954
2013-01-23,15.65823,13.4055,18.44728,30.7568,22.48414
2013-01-24,13.72353,13.673,18.76349,31.01626,22.50042
2013-01-25,13.40002,14.1995,18.75005,31.47532,22.70401
2013-01-28,13.70312,13.802,18.67691,32.40341,22.72844
2013-01-29,13.96022,13.0175,18.7503,30.72686,22.80987
2013-01-30,13.91636,13.638,18.75403,31.17593,22.67959
2013-01-31,13.87554,13.275,18.80031,30.91647,22.35384
2013-02-01,13.81857,13.25,19.29564,29.66903,22.74473
2013-02-04,13.47434,12.999,18.88315,28.05235,22.3457
2013-02-05,13.94713,13.3445,19.05033,28.58127,22.39456
2013-02-06,13.9322,13.111,19.16055,28.99043,22.26426
2013-02-07,14.34646,13.0115,19.25459,28.59125,22.21539
2013-02-08,14.55359,13.0975,19.5387,28.49145,22.43527
2013-02-11,14.70526,12.8605,19.46531,28.20205,22.68772
2013-02-12,14.33666,12.935,19.42251,27.31387,22.70401
2013-02-13,14.30938,13.4735,19.47625,27.85276,22.82616
2013-02-14,14.29652,13.462,19.59965,28.44156,22.83431
2013-02-15,14.0995,13.2545,19.72578,28.26192,22.80987
2013-02-19,14.09429,13.4875,20.07308,28.87067,23.03157
2013-02-20,13.75295,13.3205,19.71508,28.40164,22.88377
2013-02-21,13.66747,13.297,19.79146,27.22406,22.57176
